question,answer,question_clean,topic_id,prob,topic_name
How can I create an account?,"To create an account, click on the 'Sign Up' button on the top right corner of our website and follow the instructions to complete the registration process.",how can i create an account?,2,1.0,offer
What payment methods do you accept?,"We accept major credit cards, debit cards, and PayPal as payment methods for online orders.",what payment methods do you accept?,2,1.0,offer
How can I track my order?,"You can track your order by logging into your account and navigating to the 'Order History' section. There, you will find the tracking information for your shipment.",how can i track my order?,2,1.0,offer
What is your return policy?,"Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.",what is your return policy?,2,1.0,offer
Can I cancel my order?,"You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.",can i cancel my order?,2,1.0,offer
How long does shipping take?,"Shipping times vary depending on the destination and the shipping method chosen. Standard shipping usually takes 3-5 business days, while express shipping can take 1-2 business days.",how long does shipping take?,1,0.6726902335998858,listed
Do you offer international shipping?,"Yes, we offer international shipping to select countries. The availability and shipping costs will be calculated during the checkout process based on your location.",do you offer international shipping?,2,0.8588232011572394,offer
What should I do if my package is lost or damaged?,"If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue.",what should i do if my package is lost or damaged?,0,1.0,return
Can I change my shipping address after placing an order?,"If you need to change your shipping address, please contact our customer support team as soon as possible. We will do our best to update the address if the order has not been shipped yet.",can i change my shipping address after placing an order?,2,1.0,offer
How can I contact customer support?,You can contact our customer support team by phone at [phone number] or by email at [email address]. Our team is available [working hours] to assist you with any inquiries or issues you may have.,how can i contact customer support?,0,0.6524227242014015,return
Do you offer gift wrapping services?,"Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",do you offer gift wrapping services?,2,1.0,offer
What is your price matching policy?,We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.,what is your price matching policy?,2,1.0,offer
Can I order by phone?,"Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.",can i order by phone?,2,1.0,offer
Are my personal and payment details secure?,"Yes, we take the security of your personal and payment details seriously. We use industry-standard encryption and follow strict security protocols to ensure your information is protected.",are my personal and payment details secure?,2,1.0,offer
What is your price adjustment policy?,"If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",what is your price adjustment policy?,2,1.0,offer
Do you have a loyalty program?,"Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.",do you have a loyalty program?,2,1.0,offer
Can I order without creating an account?,"Yes, you can place an order as a guest without creating an account. However, creating an account offers benefits such as order tracking and easier future purchases.",can i order without creating an account?,2,1.0,offer
Do you offer bulk or wholesale discounts?,"Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.",do you offer bulk or wholesale discounts?,2,1.0,offer
Can I change or cancel an item in my order?,"If you need to change or cancel an item in your order, please contact our customer support team as soon as possible. We will assist you with the necessary steps.",can i change or cancel an item in my order?,2,1.0,offer
How can I leave a product review?,"To leave a product review, navigate to the product page on our website and click on the 'Write a Review' button. You can share your feedback and rating based on your experience with the product.",how can i leave a product review?,0,1.0,return
Can I use multiple promo codes on a single order?,"Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.",can i use multiple promo codes on a single order?,0,0.500787642348549,return
Can I return a product if I changed my mind?,"Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.",can i return a product if i changed my mind?,0,1.0,return
Do you offer live chat support?,"Yes, we offer live chat support on our website during our business hours. Look for the chat icon in the bottom right corner to initiate a chat with our customer support team.",do you offer live chat support?,2,0.8225356106758172,offer
Can I order a product as a gift?,"Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.",can i order a product as a gift?,2,0.8608127469684738,offer
What should I do if my discount code is not working?,"If your discount code is not working, please double-check the terms and conditions associated with the code. If the issue persists, contact our customer support team for assistance.",what should i do if my discount code is not working?,0,0.6489577544777329,return
Can I return a product if it was a final sale item?,Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.,can i return a product if it was a final sale item?,0,1.0,return
Do you offer installation services for your products?,Installation services are available for select products. Please check the product description or contact our customer support team for more information and to request installation services.,do you offer installation services for your products?,2,1.0,offer
Can I order a product that is discontinued?,Discontinued products are no longer available for purchase. We recommend exploring alternative products on our website.,can i order a product that is discontinued?,1,1.0,listed
Can I return a product without a receipt?,A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.,can i return a product without a receipt?,0,1.0,return
Can I order a product for delivery to a different country?,"Yes, we offer international shipping to select countries. Please review the available shipping destinations during checkout or contact our customer support for assistance.",can i order a product for delivery to a different country?,2,0.9439055344980639,offer
Can I add a gift message to my order?,"Yes, you can add a gift message during the checkout process. There is usually a section where you can enter your personalized message.",can i add a gift message to my order?,2,1.0,offer
Can I request a product demonstration before making a purchase?,"We do not currently offer product demonstrations before purchase. However, you can find detailed product descriptions, specifications, and customer reviews on our website.",can i request a product demonstration before making a purchase?,1,0.8823013213359224,listed
Can I order a product that is listed as 'coming soon'?,Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.,can i order a product that is listed as 'coming soon'?,1,1.0,listed
